Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,California,Los Angeles,1,1,2015,47.1
North America,US,California,Los Angeles,1,2,2015,48.3
North America,US,California,Los Angeles,1,3,2015,50.1
North America,US,California,Los Angeles,1,4,2015,52.7
North America,US,California,Los Angeles,1,5,2015,60.7
North America,US,California,Los Angeles,1,6,2015,67.9
North America,US,California,Los Angeles,1,7,2015,64.8
North America,US,California,Los Angeles,1,8,2015,60.3
North America,US,California,Los Angeles,1,9,2015,61.3
North America,US,California,Los Angeles,1,10,2015,57.6
North America,US,California,Los Angeles,1,11,2015,56.4
North America,US,California,Los Angeles,1,12,2015,57.0
North America,US,California,Los Angeles,1,13,2015,58.0
North America,US,California,Los Angeles,1,14,2015,58.2
North America,US,California,Los Angeles,1,15,2015,60.1
North America,US,California,Los Angeles,1,16,2015,60.7
North America,US,California,Los Angeles,1,17,2015,60.0
North America,US,California,Los Angeles,1,18,2015,59.4
North America,US,California,Los Angeles,1,19,2015,58.0
North America,US,California,Los Angeles,1,20,2015,55.8
North America,US,California,Los Angeles,1,21,2015,56.5
North America,US,California,Los Angeles,1,22,2015,59.3
North America,US,California,Los Angeles,1,23,2015,61.6
North America,US,California,Los Angeles,1,24,2015,61.0
North America,US,California,Los Angeles,1,25,2015,64.7
North America,US,California,Los Angeles,1,26,2015,67.4
North America,US,California,Los Angeles,1,27,2015,60.0
North America,US,California,Los Angeles,1,28,2015,60.9
North America,US,California,Los Angeles,1,29,2015,65.5
North America,US,California,Los Angeles,1,30,2015,63.7
North America,US,California,Los Angeles,1,31,2015,60.0
North America,US,California,Los Angeles,2,1,2015,59.0
North America,US,California,Los Angeles,2,2,2015,60.0
North America,US,California,Los Angeles,2,3,2015,58.4
North America,US,California,Los Angeles,2,4,2015,57.6
North America,US,California,Los Angeles,2,5,2015,57.3
North America,US,California,Los Angeles,2,6,2015,58.2
North America,US,California,Los Angeles,2,7,2015,58.1
North America,US,California,Los Angeles,2,8,2015,62.9
North America,US,California,Los Angeles,2,9,2015,61.2
North America,US,California,Los Angeles,2,10,2015,60.3
North America,US,California,Los Angeles,2,11,2015,66.3
North America,US,California,Los Angeles,2,12,2015,70.7
North America,US,California,Los Angeles,2,13,2015,69.5
North America,US,California,Los Angeles,2,14,2015,67.9
North America,US,California,Los Angeles,2,15,2015,63.4
North America,US,California,Los Angeles,2,16,2015,58.9
North America,US,California,Los Angeles,2,17,2015,59.8
North America,US,California,Los Angeles,2,18,2015,59.7
North America,US,California,Los Angeles,2,19,2015,59.8
North America,US,California,Los Angeles,2,20,2015,59.5
North America,US,California,Los Angeles,2,21,2015,59.8
North America,US,California,Los Angeles,2,22,2015,58.8
North America,US,California,Los Angeles,2,23,2015,55.0
North America,US,California,Los Angeles,2,24,2015,57.4
North America,US,California,Los Angeles,2,25,2015,58.4
North America,US,California,Los Angeles,2,26,2015,57.4
North America,US,California,Los Angeles,2,27,2015,57.8
North America,US,California,Los Angeles,2,28,2015,57.8
North America,US,California,Los Angeles,3,1,2015,56.0
North America,US,California,Los Angeles,3,2,2015,53.6
North America,US,California,Los Angeles,3,3,2015,53.3
North America,US,California,Los Angeles,3,4,2015,57.3
North America,US,California,Los Angeles,3,5,2015,60.1
North America,US,California,Los Angeles,3,6,2015,62.9
North America,US,California,Los Angeles,3,7,2015,67.7
North America,US,California,Los Angeles,3,8,2015,63.0
North America,US,California,Los Angeles,3,9,2015,58.9
North America,US,California,Los Angeles,3,10,2015,59.7
North America,US,California,Los Angeles,3,11,2015,61.7
North America,US,California,Los Angeles,3,12,2015,66.8
North America,US,California,Los Angeles,3,13,2015,73.6
North America,US,California,Los Angeles,3,14,2015,74.0
North America,US,California,Los Angeles,3,15,2015,74.9
North America,US,California,Los Angeles,3,16,2015,74.5
North America,US,California,Los Angeles,3,17,2015,67.4
North America,US,California,Los Angeles,3,18,2015,64.9
North America,US,California,Los Angeles,3,19,2015,62.9
North America,US,California,Los Angeles,3,20,2015,62.9
North America,US,California,Los Angeles,3,21,2015,62.7
North America,US,California,Los Angeles,3,22,2015,61.3
North America,US,California,Los Angeles,3,23,2015,61.4
North America,US,California,Los Angeles,3,24,2015,62.1
North America,US,California,Los Angeles,3,25,2015,65.8
North America,US,California,Los Angeles,3,26,2015,68.8
North America,US,California,Los Angeles,3,27,2015,69.3
North America,US,California,Los Angeles,3,28,2015,64.0
North America,US,California,Los Angeles,3,29,2015,60.8
North America,US,California,Los Angeles,3,30,2015,61.4
North America,US,California,Los Angeles,3,31,2015,59.4
North America,US,California,Los Angeles,4,1,2015,61.2
North America,US,California,Los Angeles,4,2,2015,60.9
North America,US,California,Los Angeles,4,3,2015,65.2
North America,US,California,Los Angeles,4,4,2015,68.8
North America,US,California,Los Angeles,4,5,2015,61.6
North America,US,California,Los Angeles,4,6,2015,58.4
North America,US,California,Los Angeles,4,7,2015,56.7
North America,US,California,Los Angeles,4,8,2015,56.6
North America,US,California,Los Angeles,4,9,2015,59.9
North America,US,California,Los Angeles,4,10,2015,58.8
North America,US,California,Los Angeles,4,11,2015,59.1
North America,US,California,Los Angeles,4,12,2015,61.0
North America,US,California,Los Angeles,4,13,2015,61.9
North America,US,California,Los Angeles,4,14,2015,60.4
North America,US,California,Los Angeles,4,15,2015,63.7
North America,US,California,Los Angeles,4,16,2015,65.5
North America,US,California,Los Angeles,4,17,2015,65.6
North America,US,California,Los Angeles,4,18,2015,63.9
North America,US,California,Los Angeles,4,19,2015,60.1
North America,US,California,Los Angeles,4,20,2015,59.1
North America,US,California,Los Angeles,4,21,2015,59.8
North America,US,California,Los Angeles,4,22,2015,59.5
North America,US,California,Los Angeles,4,23,2015,59.8
North America,US,California,Los Angeles,4,24,2015,59.2
North America,US,California,Los Angeles,4,25,2015,59.0
North America,US,California,Los Angeles,4,26,2015,60.0
North America,US,California,Los Angeles,4,27,2015,64.4
North America,US,California,Los Angeles,4,28,2015,67.9
North America,US,California,Los Angeles,4,29,2015,66.3
North America,US,California,Los Angeles,4,30,2015,65.9
North America,US,California,Los Angeles,5,1,2015,61.2
North America,US,California,Los Angeles,5,2,2015,62.5
North America,US,California,Los Angeles,5,3,2015,61.1
North America,US,California,Los Angeles,5,4,2015,58.9
North America,US,California,Los Angeles,5,5,2015,58.3
North America,US,California,Los Angeles,5,6,2015,59.9
North America,US,California,Los Angeles,5,7,2015,58.6
North America,US,California,Los Angeles,5,8,2015,55.7
North America,US,California,Los Angeles,5,9,2015,58.6
North America,US,California,Los Angeles,5,10,2015,59.5
North America,US,California,Los Angeles,5,11,2015,61.6
North America,US,California,Los Angeles,5,12,2015,62.1
North America,US,California,Los Angeles,5,13,2015,60.9
North America,US,California,Los Angeles,5,14,2015,58.7
North America,US,California,Los Angeles,5,15,2015,57.2
North America,US,California,Los Angeles,5,16,2015,59.6
North America,US,California,Los Angeles,5,17,2015,61.5
North America,US,California,Los Angeles,5,18,2015,61.3
North America,US,California,Los Angeles,5,19,2015,60.7
North America,US,California,Los Angeles,5,20,2015,60.3
North America,US,California,Los Angeles,5,21,2015,60.6
North America,US,California,Los Angeles,5,22,2015,60.0
North America,US,California,Los Angeles,5,23,2015,61.1
North America,US,California,Los Angeles,5,24,2015,60.9
North America,US,California,Los Angeles,5,25,2015,60.6
North America,US,California,Los Angeles,5,26,2015,61.1
North America,US,California,Los Angeles,5,27,2015,60.4
North America,US,California,Los Angeles,5,28,2015,60.7
North America,US,California,Los Angeles,5,29,2015,61.5
North America,US,California,Los Angeles,5,30,2015,60.4
North America,US,California,Los Angeles,5,31,2015,59.8
North America,US,California,Los Angeles,6,1,2015,60.8
North America,US,California,Los Angeles,6,2,2015,62.7
North America,US,California,Los Angeles,6,3,2015,62.9
North America,US,California,Los Angeles,6,4,2015,62.0
North America,US,California,Los Angeles,6,5,2015,62.7
North America,US,California,Los Angeles,6,6,2015,61.9
North America,US,California,Los Angeles,6,7,2015,62.2
North America,US,California,Los Angeles,6,8,2015,63.2
North America,US,California,Los Angeles,6,9,2015,63.4
North America,US,California,Los Angeles,6,10,2015,69.0
North America,US,California,Los Angeles,6,11,2015,62.8
North America,US,California,Los Angeles,6,12,2015,63.3
North America,US,California,Los Angeles,6,13,2015,63.8
North America,US,California,Los Angeles,6,14,2015,64.7
North America,US,California,Los Angeles,6,15,2015,63.8
North America,US,California,Los Angeles,6,16,2015,63.7
North America,US,California,Los Angeles,6,17,2015,64.3
North America,US,California,Los Angeles,6,18,2015,64.0
North America,US,California,Los Angeles,6,19,2015,63.4
North America,US,California,Los Angeles,6,20,2015,67.8
North America,US,California,Los Angeles,6,21,2015,68.1
North America,US,California,Los Angeles,6,22,2015,67.7
North America,US,California,Los Angeles,6,23,2015,68.5
North America,US,California,Los Angeles,6,24,2015,68.3
North America,US,California,Los Angeles,6,25,2015,67.7
North America,US,California,Los Angeles,6,26,2015,63.7
North America,US,California,Los Angeles,6,27,2015,65.1
North America,US,California,Los Angeles,6,28,2015,68.5
North America,US,California,Los Angeles,6,29,2015,70.5
North America,US,California,Los Angeles,6,30,2015,69.9
North America,US,California,Los Angeles,7,1,2015,70.9
North America,US,California,Los Angeles,7,2,2015,68.5
North America,US,California,Los Angeles,7,3,2015,66.1
North America,US,California,Los Angeles,7,4,2015,65.2
North America,US,California,Los Angeles,7,5,2015,65.0
North America,US,California,Los Angeles,7,6,2015,65.2
North America,US,California,Los Angeles,7,7,2015,65.6
North America,US,California,Los Angeles,7,8,2015,66.7
North America,US,California,Los Angeles,7,9,2015,67.2
North America,US,California,Los Angeles,7,10,2015,66.9
North America,US,California,Los Angeles,7,11,2015,66.7
North America,US,California,Los Angeles,7,12,2015,68.2
North America,US,California,Los Angeles,7,13,2015,69.9
